Unix Timestamp,Date,Symbol,Open,High,Low,Close,Volume BTC,Volume USD,wfef
1514088000,2017-12-24 04-AM,BTCUSD,13378,13594,12810,13151,2243.17,29490952.73,25036
1514091600,2017-12-24 05-AM,BTCUSD,13151,13448,13130,13447,1525.01,20246016.66,25035
1514095200,2017-12-24 06-AM,BTCUSD,13447,13710,13323.39,13668,1506.24,20393539.8,25034
1514098800,2017-12-24 07-AM,BTCUSD,13668,13830,13252.22,13280,1718.93,23321454.64,25033
1514102400,2017-12-24 08-AM,BTCUSD,13280,13540,13041,13531,1407.33,18720461.59,25032
1514106000,2017-12-24 09-AM,BTCUSD,13531,13621,12524,12860,2951.79,38729639.14,25031
1514109600,2017-12-24 10-AM,BTCUSD,12860,12880,12365,12669,4390.27,55318238.82,25030
1514113200,2017-12-24 11-AM,BTCUSD,12669,12679,11762,12270,6428.06,77842168.87,25029
1514116800,2017-12-24 12-PM,BTCUSD,12267,12375,11600,12068,5678.89,67950505.73,25028
1514120400,2017-12-24 01-PM,BTCUSD,12068,12799,12068,12770,3928.58,48793447.03,25027
1514124000,2017-12-24 02-PM,BTCUSD,12770,13159,12600,13050,3670.88,47242199.25,25026
1514127600,2017-12-24 03-PM,BTCUSD,13050,13200,12258,12575,3724.85,47128635.22,25025
1514131200,2017-12-24 04-PM,BTCUSD,12575,12999,12563,12699,2456.43,31437239.96,25024
1514134800,2017-12-24 05-PM,BTCUSD,12699,12864.37,12454,12468,1438.03,18231126.57,25023
1514138400,2017-12-24 06-PM,BTCUSD,12468,12588,12186,12350,2415.71,29872840.37,25022
1514142000,2017-12-24 07-PM,BTCUSD,12350,12440,12008,12198,2404.71,29342557.4,25021
1514145600,2017-12-24 08-PM,BTCUSD,12198,13000,12159,12845,2842.14,36084562.36,25020
1514149200,2017-12-24 09-PM,BTCUSD,12845,12909,12537,12649,1158.86,14728318.64,25019
1514152800,2017-12-24 10-PM,BTCUSD,12649,13193,12518,13131,1636.43,20971085.22,25018
1514156400,2017-12-24 11-PM,BTCUSD,13131,13577,13050,13477,2958.51,39453287.16,25017
1514160000,2017-12-25 12-AM,BTCUSD,13477,13626,13269,13411,2147.89,28908456.76,25016
1514163600,2017-12-25 01-AM,BTCUSD,13411,13449,13086,13348,1533.37,20309957.05,25015
1514167200,2017-12-25 02-AM,BTCUSD,13348,13354,12835,12940,2116.94,27616183.1,25014
1514170800,2017-12-25 03-AM,BTCUSD,12940,13224,12853.06,12899,1133.96,14754493.61,25013
1514174400,2017-12-25 04-AM,BTCUSD,12899,13601,12675,13484,3581.25,47462886.84,25012
1514178000,2017-12-25 05-AM,BTCUSD,13484,13484,13260,13401,1104.2,14740821.33,25011
1514181600,2017-12-25 06-AM,BTCUSD,13401,13720,13303,13510,2271.77,30690956.67,25010
1514185200,2017-12-25 07-AM,BTCUSD,13510,13700,13360,13582,1229.45,16643743.99,25009
1514188800,2017-12-25 08-AM,BTCUSD,13582,13910,13414,13863,2112.99,28942538.26,25008
1514192400,2017-12-25 09-AM,BTCUSD,13863,13980,13555,13583,1644.11,22593160.54,25007
1514196000,2017-12-25 10-AM,BTCUSD,13583,13841,13566,13674,965.66,13214724.72,25006
1514199600,2017-12-25 11-AM,BTCUSD,13674,13940,13627.27,13807.68,1079.76,14909751.93,25005
1514203200,2017-12-25 12-PM,BTCUSD,13807.68,14278,13773,14200,2247.9,31603941.63,25004
1514206800,2017-12-25 01-PM,BTCUSD,14200,14217.59,13400,13477.9,3272.07,45241576.6,25003
1514210400,2017-12-25 02-PM,BTCUSD,13477.9,13556,13061,13182,3868.65,51657497.55,25002
1514214000,2017-12-25 03-PM,BTCUSD,13182,13634,13170,13483,2040.28,27417088.57,25001
1514217600,2017-12-25 04-PM,BTCUSD,13483,13747,13473,13626,1500.77,20478916.43,25000
1514221200,2017-12-25 05-PM,BTCUSD,13626,13672,13417.64,13601,2218.99,30033509.35,24999
1514224800,2017-12-25 06-PM,BTCUSD,13601,13999,13561,13844,1823.04,25139750.61,24998
1514228400,2017-12-25 07-PM,BTCUSD,13844,13892.19,13755,13826,756.59,10442979.23,24997
