Datetime,stock_price,portfolio_value,stock_owned,cash_in_hand,stock_value,sell_buy,marker_buy,marker_sell
2021-03-10 16:30:00+00:00,10.532103538513184,1028.816778611725,26.99438912134258,744.5090774268313,284.307701184894,sell,,10.532103538513184
2021-03-10 17:00:00+00:00,10.485666275024414,1027.5626305723545,27.568963028938498,738.4836847024192,289.07894586993535,buy,10.485666275024414,
2021-03-10 17:30:00+00:00,10.504722595214844,1028.0878697157384,27.33317686210586,740.9604291333713,287.127440582367,sell,,10.504722595214844
2021-03-10 18:00:00+00:00,10.471981048583984,1027.192514995134,27.73829199971459,736.7176468540339,290.47486814109993,buy,10.471981048583984,
2021-03-10 18:30:00+00:00,10.448278427124023,1026.534738337597,28.031567417113166,733.6531172149009,292.8816211226962,buy,10.448278427124023,
2021-03-10 19:00:00+00:00,10.502691268920898,1028.0596620304157,27.358310709336052,740.7237710110468,287.3358910193689,sell,,10.502691268920898
2021-03-10 19:30:00+00:00,10.435847282409668,1026.2300603620502,28.185379482204922,732.0917444889967,294.13831587305344,buy,10.435847282409668,
2021-03-10 20:00:00+00:00,10.314404487609863,1022.8055992355211,29.68800594886494,716.5914974483602,306.21410178716087,buy,10.314404487609863,
2021-03-10 20:30:00+00:00,10.251819610595703,1020.9467851639599,30.462376242048364,708.6519990203839,312.29478614357606,buy,10.251819610595703,
2021-03-10 21:00:00+00:00,10.22490406036377,1020.1265330266914,30.79540561781242,705.2464650845719,314.88006794211947,buy,10.22490406036377,
2021-03-10 21:30:00+00:00,10.280838012695312,1021.8486860196672,30.103328024433353,712.3612469574366,309.4874390622305,sell,,10.280838012695312
2021-03-10 22:00:00+00:00,10.28299331665039,1021.9135541303592,30.07666018652715,712.6354584451357,309.27809568522355,sell,,10.28299331665039
2021-03-10 22:30:00+00:00,10.319400787353516,1023.0083368238287,29.626186124621313,717.2838484031297,305.724488420699,sell,,10.319400787353516
2021-03-10 23:00:00+00:00,10.27603244781494,1021.7229469110555,30.162787863021578,711.7691601140872,309.95378679696836,buy,10.27603244781494,
2021-03-10 23:30:00+00:00,10.258723258972168,1021.2006338101695,30.37695656125058,709.571842998481,311.62879081168853,buy,10.258723258972168,
2021-03-11 00:00:00+00:00,10.292619705200195,1022.2300888460875,29.957551710498294,713.888401791059,308.34168705502856,sell,,10.292619705200195
2021-03-11 00:30:00+00:00,10.173421859741213,1018.6577128004215,31.43240114599405,698.8826358776108,319.7750769228106,buy,10.173421859741213,
2021-03-11 01:00:00+00:00,10.112831115722656,1016.752442073142,32.18209778915012,691.3003221817953,325.4521198913466,buy,10.112831115722656,
2021-03-11 01:30:00+00:00,10.191319465637207,1019.2778669624968,31.2109518920181,701.1970854043063,318.0807815581905,sell,,10.191319465637207
2021-03-11 02:00:00+00:00,10.244406700134276,1020.9344336300755,30.554097084546143,707.9258367405979,313.00859688947764,sell,,10.244406700134276
2021-03-11 02:30:00+00:00,10.278035163879396,1021.961707147243,30.138008013639677,712.2022010137754,309.75950613346765,sell,,10.278035163879396
2021-03-11 03:00:00+00:00,10.26313018798828,1021.512311590639,30.322429092682214,710.3092741963982,311.2030373942409,buy,10.26313018798828,
2021-03-11 03:30:00+00:00,10.234818458557127,1020.6534726522054,30.672733563443913,706.7236130026649,313.9298596495405,buy,10.234818458557127,
2021-03-11 04:00:00+00:00,10.19394588470459,1019.3992835547913,31.17845488954302,701.5678016420865,317.83148191270476,buy,10.19394588470459,
2021-03-11 04:30:00+00:00,10.058058738708496,1015.1608411934075,32.859803069887704,684.6550117740832,330.5058294193243,buy,10.058058738708496,
2021-03-11 05:00:00+00:00,10.046782493591307,1014.7901658244166,32.999325421835934,683.2531208759927,331.53704494842384,buy,10.046782493591307,
2021-03-11 05:30:00+00:00,10.002840995788574,1013.3395821909429,33.543018917130695,677.8140974441563,335.52548474678656,buy,10.002840995788574,
2021-03-11 06:00:00+00:00,10.04535675048828,1014.7654247358082,33.01696631461017,683.0982192866948,331.66720544911345,sell,,10.04535675048828
2021-03-11 06:30:00+00:00,10.05669403076172,1015.1396768002771,32.87668876725219,684.508877123441,330.63079967683603,sell,,10.05669403076172
