Date,stock_price,portfolio_value,current_val,stock_owned,cash_in_hand,stock_value,sell_buy,marker_buy,marker_sell
2021-03-13 13:30:00+00:00,1886.3214111328125,1134.1164948163462,0.0,0.0,1134.1164948163462,0.0,hold,,
2021-03-13 14:00:00+00:00,1888.3074951171875,1134.1164948163462,0.0,0.0,1134.1164948163462,0.0,hold,,
2021-03-13 14:30:00+00:00,1883.1741943359373,1134.1164948163462,0.0,0.0,1134.1164948163462,0.0,hold,,
2021-03-13 15:00:00+00:00,1882.12353515625,1134.1164948163462,0.0,0.0,1134.1164948163462,0.0,hold,,
2021-03-13 15:30:00+00:00,1873.9622802734373,1134.1164948163462,0.0,0.0,1134.1164948163462,0.0,hold,,
2021-03-13 16:00:00+00:00,1875.135009765625,1134.1164948163462,0.0,0.0,1134.1164948163462,0.0,hold,,
2021-03-13 16:30:00+00:00,1886.3934326171875,1134.1164948163462,0.0,0.0,1134.1164948163462,0.0,hold,,
2021-03-13 17:00:00+00:00,1890.9635009765625,1134.1164948163462,0.0,0.0,1134.1164948163462,0.0,hold,,
2021-03-13 17:30:00+00:00,1912.843017578125,1134.1164948163462,0.0,0.0,1134.1164948163462,0.0,hold,,
2021-03-13 18:00:00+00:00,1907.124267578125,1134.1164948163462,0.0,0.0,1134.1164948163462,0.0,hold,,
2021-03-13 18:30:00+00:00,1907.9825439453125,1134.1164948163462,0.0,0.0,1134.1164948163462,0.0,hold,,
2021-03-13 19:00:00+00:00,1913.600341796875,1134.1164948163462,0.0,0.0,1134.1164948163462,0.0,hold,,
2021-03-13 19:30:00+00:00,1924.5350341796875,1134.1164948163462,0.0,0.0,1134.1164948163462,0.0,hold,,
2021-03-13 20:00:00+00:00,1932.847412109375,1134.1164948163462,0.0,0.0,1134.1164948163462,0.0,hold,,
2021-03-13 20:30:00+00:00,1933.04248046875,1134.1164948163462,0.0,0.0,1134.1164948163462,0.0,hold,,
2021-03-13 21:00:00+00:00,1911.4361572265625,1134.1164948163462,0.0,0.0,1134.1164948163462,0.0,hold,,
2021-03-13 21:30:00+00:00,1908.9686279296875,1134.1164948163462,0.0,0.0,1134.1164948163462,0.0,hold,,
2021-03-13 22:00:00+00:00,1912.538818359375,1134.1164948163462,0.0,0.0,1134.1164948163462,0.0,hold,,
2021-03-13 22:30:00+00:00,1920.165283203125,1134.1164948163462,0.0,0.0,1134.1164948163462,0.0,hold,,
2021-03-13 23:00:00+00:00,1929.7161865234373,1134.1164948163462,0.0,0.0,1134.1164948163462,0.0,hold,,
2021-03-13 23:30:00+00:00,1924.6278076171875,1134.1164948163462,0.0,0.0,1134.1164948163462,0.0,hold,,
2021-03-14 00:00:00+00:00,1929.795166015625,1134.1164948163462,0.0,0.0,1134.1164948163462,0.0,hold,,
2021-03-14 00:30:00+00:00,1915.771240234375,1134.1164948163462,0.0,0.0,1134.1164948163462,0.0,hold,,
2021-03-14 01:00:00+00:00,1902.25927734375,1134.1164948163462,0.0,0.0,1134.1164948163462,0.0,hold,,
2021-03-14 01:30:00+00:00,1907.3216552734373,1134.1164948163462,0.0,0.0,1134.1164948163462,0.0,hold,,
2021-03-14 02:00:00+00:00,1903.6156005859373,1134.1164948163462,0.0,0.0,1134.1164948163462,0.0,hold,,
2021-03-14 02:30:00+00:00,1904.7635498046875,1134.1164948163462,0.0,0.0,1134.1164948163462,0.0,hold,,
2021-03-14 03:00:00+00:00,1909.115478515625,1134.1164948163462,0.0,0.0,1134.1164948163462,0.0,hold,,
2021-03-14 03:30:00+00:00,1910.8050537109373,1134.1164948163462,0.0,0.0,1134.1164948163462,0.0,hold,,
2021-03-14 04:00:00+00:00,1906.0926513671875,1134.1164948163462,0.0,0.0,1134.1164948163462,0.0,hold,,
2021-03-14 04:30:00+00:00,1901.4661865234373,1134.1164948163462,0.0,0.0,1134.1164948163462,0.0,hold,,
2021-03-14 05:00:00+00:00,1893.157470703125,1134.1164948163462,0.0,0.0,1134.1164948163462,0.0,hold,,
2021-03-14 05:30:00+00:00,1899.3790283203125,1134.1164948163462,0.0,0.0,1134.1164948163462,0.0,hold,,
2021-03-14 06:00:00+00:00,1885.773193359375,1134.0881419039756,-0.02835291237056481,0.6013915914690015,0.0,1134.0881419039756,buy,1885.773193359375,
2021-03-14 06:30:00+00:00,1894.3983154296875,1139.2752177924551,5.187075888479512,0.6013915914690015,0.0,1139.2752177924551,hold,,
2021-03-14 07:00:00+00:00,1899.303466796875,1142.2251345795644,2.9499167871092595,0.6013915914690015,0.0,1142.2251345795644,hold,,
2021-03-14 07:30:00+00:00,1888.609130859375,1135.7936508704072,-6.431483709157192,0.6013915914690015,0.0,1135.7936508704072,hold,,
2021-03-14 08:00:00+00:00,1896.522705078125,1140.5242940438327,4.730643173425506,0.0,1140.5242940438327,0.0,sell,,1896.522705078125
2021-03-14 08:30:00+00:00,1896.2406005859373,1140.4957809364817,-0.02851310735104562,0.6014509870657073,0.0,1140.4957809364817,buy,1896.2406005859373,
2021-03-14 09:00:00+00:00,1901.701416015625,1143.780193766851,3.2844128303693196,0.6014509870657073,0.0,1143.780193766851,hold,,
2021-03-14 09:30:00+00:00,1902.70849609375,1144.3859030738934,0.6057093070423889,0.6014509870657073,0.0,1144.3859030738934,hold,,
2021-03-14 10:00:00+00:00,1889.4619140625,1136.4187332359513,-7.967169837942038,0.6014509870657073,0.0,1136.4187332359513,hold,,
2021-03-14 10:30:00+00:00,1873.05615234375,1126.5514716566443,-9.867261579307069,0.6014509870657073,0.0,1126.5514716566443,hold,,
2021-03-14 11:00:00+00:00,1854.241943359375,1115.2356470921316,-11.315824564512695,0.6014509870657073,0.0,1115.2356470921316,hold,,
2021-03-14 11:30:00+00:00,1878.074951171875,1129.541793914875,14.306146822743358,0.0,1129.541793914875,0.0,sell,,1878.074951171875
2021-03-14 13:30:00+00:00,1862.1639404296875,1129.513555370027,-0.028238544847908997,0.6065596754651987,0.0,1129.513555370027,buy,1862.1639404296875,
2021-03-14 14:00:00+00:00,1875.15380859375,1137.3926855879563,7.879130217929287,0.6065596754651987,0.0,1137.3926855879563,hold,,
2021-03-14 14:30:00+00:00,1866.9857177734373,1132.4382510708172,-4.954434517139134,0.6065596754651987,0.0,1132.4382510708172,hold,,
2021-03-14 15:00:00+00:00,1857.6746826171875,1126.7905526081972,-5.647698462619928,0.6065596754651987,0.0,1126.7905526081972,hold,,
2021-03-14 15:30:00+00:00,1854.578857421875,1124.9127498824316,-1.877802725765605,0.6065596754651987,0.0,1124.9127498824316,hold,,
2021-03-14 16:00:00+00:00,1860.5633544921875,1128.5427044832227,3.629954600791052,0.6065596754651987,0.0,1128.5427044832227,hold,,
2021-03-14 16:30:00+00:00,1850.5687255859373,1122.4803656174524,-6.0623388657702435,0.6065596754651987,0.0,1122.4803656174524,hold,,
2021-03-14 17:00:00+00:00,1863.9473876953125,1130.5953225646738,8.114956947221344,0.6065596754651987,0.0,1130.5953225646738,hold,,
2021-03-14 17:30:00+00:00,1858.1737060546875,1127.0650627714942,-3.530259793179539,0.0,1127.0650627714942,0.0,sell,,1858.1737060546875
2021-03-14 18:00:00+00:00,1870.8541259765625,1127.036886144925,-0.028176626569347718,0.6024183662938583,0.0,1127.036886144925,buy,1870.8541259765625,
2021-03-14 18:30:00+00:00,1874.0830078125,1128.9820238654863,1.9451377205614335,0.6024183662938583,0.0,1128.9820238654863,hold,,
2021-03-14 19:00:00+00:00,1873.4573974609373,1128.6051446995614,-0.3768791659249473,0.6024183662938583,0.0,1128.6051446995614,hold,,
2021-03-14 20:30:00+00:00,1876.5496826171875,1130.4679940715043,1.862849371942957,0.6024183662938583,0.0,1130.4679940715043,hold,,
2021-03-14 22:00:00+00:00,1877.4700927734373,1130.994190492501,0.5261964209967118,0.0,1130.994190492501,0.0,sell,,1877.4700927734373
2021-03-14 22:30:00+00:00,1881.7633056640625,1130.994190492501,0.0,0.0,1130.994190492501,0.0,hold,,
2021-03-14 23:00:00+00:00,1886.6363525390625,1130.994190492501,0.0,0.0,1130.994190492501,0.0,hold,,
2021-03-14 23:30:00+00:00,1855.4940185546875,1130.994190492501,0.0,0.0,1130.994190492501,0.0,hold,,
2021-03-15 00:00:00+00:00,1875.7816162109373,1130.994190492501,0.0,0.0,1130.994190492501,0.0,hold,,
2021-03-15 00:30:00+00:00,1872.596435546875,1130.994190492501,0.0,0.0,1130.994190492501,0.0,hold,,
2021-03-15 01:00:00+00:00,1884.885009765625,1130.994190492501,0.0,0.0,1130.994190492501,0.0,hold,,
2021-03-15 01:30:00+00:00,1881.8480224609373,1130.994190492501,0.0,0.0,1130.994190492501,0.0,hold,,
