Date,stock_price,portfolio_value,current_val,stock_owned,cash_in_hand,stock_value,sell_buy,marker_buy,marker_sell,bechmark,benchmark
2018-11-05,42.45000076293945,1027.2536436244222,0.0,0.0,1027.2536436244222,0.0,hold,,,2738.31005859375,2738.31005859375
2018-11-06,42.20000076293945,1027.2536436244222,0.0,0.0,1027.2536436244222,0.0,hold,,,2755.449951171875,2755.449951171875
2018-11-07,43.130001068115234,1027.2536436244222,0.0,0.0,1027.2536436244222,0.0,hold,,,2813.889892578125,2813.889892578125
2018-11-08,42.540000915527344,1027.202280942241,-0.051362682181206765,24.14673857158537,0.0,1027.202280942241,buy,42.540000915527344,,2806.830078125,2806.830078125
2018-11-09,41.459999084472656,1001.1237590709301,-26.078521871310954,24.14673857158537,0.0,1001.1237590709301,hold,,,2781.010009765625,2781.010009765625
2018-11-12,41.33000183105469,997.8849509026844,-3.2388081682456686,0.0,997.8849509026844,0.0,sell,,41.33000183105469,2726.219970703125,2726.219970703125
2018-11-13,40.83000183105469,997.8350566551393,-0.049894247545125836,24.438770803487962,0.0,997.8350566551393,buy,40.83000183105469,,2722.179931640625,2722.179931640625
2018-11-14,40.709999084472656,994.9023370356321,-2.9327196195072247,24.438770803487962,0.0,994.9023370356321,hold,,,2701.580078125,2701.580078125
2018-11-15,41.18000030517578,1006.3885891457553,11.486252110123246,24.438770803487962,0.0,1006.3885891457553,hold,,,2730.199951171875,2730.199951171875
2018-11-16,41.849998474121094,1022.7625208353663,16.373931689611027,24.438770803487962,0.0,1022.7625208353663,hold,,,2736.27001953125,2736.27001953125
2018-11-19,41.7599983215332,1020.5630277339919,-2.199493101374401,24.438770803487962,0.0,1020.5630277339919,hold,,,2690.72998046875,2690.72998046875
2018-11-20,40.310001373291016,985.1268846501441,-35.43614308384781,24.438770803487962,0.0,985.1268846501441,hold,,,2641.889892578125,2641.889892578125
2018-11-21,40.88999938964844,999.3013232383809,14.17443858823674,24.438770803487962,0.0,999.3013232383809,hold,,,2649.929931640625,2649.929931640625
