Date,High,Low,Open,Close,Volume,Adj Close
2018-01-25,324600,321520,324600,322850,2,322850
2018-01-26,325915,323100,323100,325915,4,325915
2018-01-29,326350,322910,325650,323500,2,323500
2018-01-30,324915,322155,322480,323000,9,323000
2018-01-31,323500,321010,323000,323375,6,323375
2018-02-01,326110,322000,322300,325900,4,325900
2018-02-02,324380,312030,324351,314340,6,314340
2018-02-05,311850,295000,308500,295600,10,295600
2018-02-06,303431,288540,293150,303000,12,303000
2018-02-07,306710,301000,304200,301000,5,301000
2018-02-08,301190,288000,301190,288000,6,288000
2018-02-09,296296,285250,293859,294140,9,294140
2018-02-12,301020,295000,298100,298940,4,298940
2018-02-13,298508,294500,296400,297500,3,297500
2018-02-14,301180,294458,295960,301005,2,301005
2018-02-15,305999,301100,303580,305999,3,305999
2018-02-16,309590,304650,304650,306000,4,306000
2018-02-20,306805,303660,305400,304904,2,304904
2018-02-21,307770,301240,304470,301530,2,301530
2018-02-22,305020,300345,302500,301404,3,301404
2018-02-23,306400,301425,301860,304020,4,304020
2018-02-26,316520,308455,311240,316126,8,316126
2018-02-27,319500,314345,318150,314345,6,314345
2018-02-28,317410,310250,316100,310250,3,310250
2018-03-01,313000,301405,311000,302946,4,302946
2018-03-02,303693,299360,300980,303100,3,303100
2018-03-05,306499,300240,302000,304500,2,304500
2018-03-06,307499,304400,307000,307005,2,307005
2018-03-07,307560,303430,303900,306756,2,306756
2018-03-08,310994,305240,306400,307700,3,307700
2018-03-09,319780,309355,311540,319600,5,319600
2018-03-12,320000,317130,319320,317746,3,317746
2018-03-13,319860,313395,318020,314039,4,314039
2018-03-14,315485,309435,315485,310655,3,310655
2018-03-15,313950,308000,312501,311601,2,311601
2018-03-16,313340,309880,313340,310630,2,310630
2018-03-19,310513,304100,310400,305980,3,305980
2018-03-20,308210,305810,307501,307100,2,307100
2018-03-21,310720,306020,308950,307600,3,307600
2018-03-22,304730,295950,304730,296949,6,296949
2018-03-23,298389,288450,297440,288755,5,288755
2018-03-26,299925,293455,295500,299500,4,299500
2018-03-27,302590,292380,301000,294650,3,294650
2018-03-28,298145,291640,296400,295041,3,295041
2018-03-29,301518,296540,296540,299100,3,299100
2018-04-02,299100,288740,298620,293410,5,293410
2018-04-03,297325,291885,295480,296850,2,296850
2018-04-04,300900,291100,291100,299850,4,299850
2018-04-05,304200,300500,301410,301750,4,301750
2018-04-06,299750,290990,298810,294000,4,294000
2018-04-09,298000,292560,296150,292671,3,292671
2018-04-10,299500,296300,296760,296556,3,296556
2018-04-11,295500,292690,295250,293249,2,293249
2018-04-12,299370,295000,295320,297021,3,297021
2018-04-13,299960,294300,299200,295891,2,295891
2018-04-16,299892,296600,297949,297181,2,297181
2018-04-17,300950,298590,299499,298701,2,298701
2018-04-18,301300,299130,300170,299205,1,299205
2018-04-19,302000,298990,300000,300300,1,300300
2018-04-20,301680,298450,301680,300140,1,300140
2018-04-23,301420,298000,300998,298821,2,298821
2018-04-24,300750,293000,299600,295734,3,295734
2018-04-25,296010,291995,294660,295279,2,295279
2018-04-26,296760,294400,296750,295769,1,295769
2018-04-27,296455,293980,295850,295995,1,295995
2018-04-30,297240,290650,296900,290650,3,290650
2018-05-01,292730,289170,291150,292730,4,292730
2018-05-02,292400,289750,291850,290450,3,290450
2018-05-03,289171,284850,289171,287051,5,287051
2018-05-04,294349,280428,288200,292600,7,292600
2018-05-07,297500,293700,294720,295600,3,295600
2018-05-08,295770,292240,295560,295700,3,295700
2018-05-09,300000,294950,295000,299991,2,299991
2018-05-10,301630,298635,300140,301630,3,301630
2018-05-11,303530,298360,300300,298770,3,298770
2018-05-14,300730,298100,300000,298200,2,298200
2018-05-15,298155,294420,297555,296200,2,296200
2018-05-16,297580,295000,295700,296300,1,296300
2018-05-17,296840,295000,296750,296440,1,296440
2018-05-18,296440,293965,296440,294380,2,294380
2018-05-21,297775,295745,296200,296620,2,296620
2018-05-22,298300,296006,297300,296991,2,296991
2018-05-23,296580,292647,296500,294400,3,294400
2018-05-24,294110,291222,293980,291850,2,291850
2018-05-25,292370,290100,291600,290886,2,290886
2018-05-29,289700,283600,289700,286000,9,286000
2018-05-30,293116,288300,288500,292000,6,292000
2018-05-31,291700,287200,291000,287200,4,287200
2018-06-01,291000,288470,290080,289200,2,289200
2018-06-04,291080,288000,290095,288000,2,288000
2018-06-05,288100,286200,288000,286700,3,286700
2018-06-06,291261,287680,287680,290722,3,290722
2018-06-07,294000,291110,291900,292900,3,292900
2018-06-08,294540,291645,292300,294055,2,294055
2018-06-11,295302,292770,294600,292770,2,292770
2018-06-12,294190,292370,293450,293005,2,293005
2018-06-13,294020,291825,293100,292769,2,292769
2018-06-14,292800,288978,292800,289670,3,289670
2018-06-15,289600,286200,289600,287626,3,287626
2018-06-18,287850,285700,286100,287600,2,287600
2018-06-19,287164,284800,286450,286700,3,286700
2018-06-20,286780,285000,286780,285000,3,285000
2018-06-21,285800,283600,285300,285000,5,285000
2018-06-22,287310,285401,285900,286541,5,286541
2018-06-25,285705,282500,285000,284640,3,284640
2018-06-26,287000,282400,283200,284500,5,284500
2018-06-27,285700,281600,284500,281600,6,281600
2018-06-28,285625,282000,282950,284920,5,284920
2018-06-29,288080,282000,286700,282040,4,282040
2018-07-02,284501,282050,282050,283800,1,283800
2018-07-03,285000,281600,284900,282000,1,282000
2018-07-05,284203,282140,282400,283635,2,283635
2018-07-06,285406,282840,283140,283700,1,283700
2018-07-09,286720,284515,285000,286720,1,286720
2018-07-10,287770,286070,287499,286385,2,286385
2018-07-11,289500,285010,285500,288481,4,288481
2018-07-12,289800,286161,288550,288000,5,288000
2018-07-13,290100,287221,288000,290000,6,290000
2018-07-16,290920,288800,288800,289000,3,289000
2018-07-17,289800,287560,289220,288500,2,288500
2018-07-18,304100,295060,295060,303210,10,303210
2018-07-19,303549,298205,303210,299000,3,299000
2018-07-20,299380,298005,298005,299380,2,299380
2018-07-23,301560,298835,298900,300230,5,300230
2018-07-24,303400,300400,300650,300400,2,300400
2018-07-25,300500,297888,300000,299816,2,299816
2018-07-26,302000,300300,300300,300501,2,300501
2018-07-27,302749,300500,300500,302000,3,302000
2018-07-30,304400,301240,301240,303432,4,303432
2018-07-31,303400,301080,303400,301550,5,301550
2018-08-01,303900,300770,302500,301200,2,301200
2018-08-02,302175,299000,300550,301160,2,301160
2018-08-03,304990,301720,302300,304671,3,304671
2018-08-06,315015,308600,309000,311806,7,311806
2018-08-07,317100,313950,313950,315600,5,315600
2018-08-08,316599,314376,315550,315300,2,315300
2018-08-09,316575,315000,315400,315100,1,315100
2018-08-10,313799,310540,313799,312000,2,312000
2018-08-13,312750,309983,311200,310230,2,310230
2018-08-14,312108,310250,310745,310815,1,310815
2018-08-15,311300,308000,310000,309050,1,309050
2018-08-16,313195,309950,310120,313000,2,313000
2018-08-17,314290,312260,312975,313465,2,313465
2018-08-20,315535,313465,313465,314060,1,314060
2018-08-21,315600,313725,314950,313725,2,313725
2018-08-22,313250,311960,313250,312400,1,312400
2018-08-23,312930,311710,312300,311983,1,311983
2018-08-24,313640,312150,312150,312850,2,312850
2018-08-27,317500,314250,314250,316200,2,316200
2018-08-28,317730,316110,316700,317124,3,317124
2018-08-29,317850,316320,317850,317505,2,317505
2018-08-30,317450,315880,317000,317000,4,317000
2018-08-31,316900,315000,316900,315800,5,315800
2018-09-04,317250,315000,315800,317250,2,317250
2018-09-05,319950,316123,316500,319920,3,319920
2018-09-06,321175,318500,318500,320035,4,320035
2018-09-07,322743,320000,320000,321700,3,321700
2018-09-10,324995,322105,322200,322560,3,322560
2018-09-11,324420,320070,321200,323242,2,323242
2018-09-12,323420,321750,321750,322340,2,322340
2018-09-13,323455,321575,322700,321575,3,321575
2018-09-14,324999,323276,323980,324999,2,324999
2018-09-17,325666,323836,325040,324575,2,324575
2018-09-18,327820,324945,325000,327436,5,327436
2018-09-19,332000,326400,326400,332000,6,332000
2018-09-20,334560,332300,332300,333415,3,333415
2018-09-21,333860,331015,333780,331336,4,331336
